"CH4","CO2","H2O","N2","O2","Qdot","T","f_Bilger","p","U:0","U:1","U:2","RR.CH4","RR.H2O","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.93000e+02,1.00000e+00,1.00000e+05,1.00000e-01,0.00000e+00,0.00000e+00,0.00000e+00,8.33575e-22,1,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e+00,1.39008e-08,1.13805e-08,6.68419e-08,2.11168e-12,9.26570e-07,2.93006e+02,1.00000e+00,1.00000e+05,9.98551e-02,1.72500e-08,0.00000e+00,1.99262e-13,4.16788e-22,1,2.00000e-04,2.00000e-04,0.00000e+00,0.00000e+00
1.00000e+00,4.30877e-08,3.52756e-08,2.07228e-07,6.54620e-12,9.26570e-07,2.93016e+02,1.00000e+00,1.00000e+05,9.94733e-02,7.50000e-09,0.00000e+00,1.99262e-13,0.00000e+00,1,4.00000e-04,4.00000e-04,0.00000e+00,0.00000e+00
1.00000e+00,1.04403e-07,8.54743e-08,5.02277e-07,1.58645e-11,2.69667e-13,2.93033e+02,1.00000e+00,1.00000e+05,9.88329e-02,1.07500e-08,0.00000e+00,5.79927e-20,0.00000e+00,1,6.00000e-04,6.00000e-04,0.00000e+00,0.00000e+00
9.99999e-01,2.32719e-07,1.90525e-07,1.12003e-06,3.53704e-11,4.63285e-07,2.93060e+02,9.99999e-01,1.00000e+05,9.79322e-02,1.75000e-08,0.00000e+00,9.96308e-14,0.00000e+00,1,8.00000e-04,8.00000e-04,0.00000e+00,0.00000e+00
9.99996e-01,4.99641e-07,4.09052e-07,2.40576e-06,7.59589e-11,4.63285e-07,2.93107e+02,9.99997e-01,1.00000e+05,9.67818e-02,2.50000e-08,0.00000e+00,9.96308e-14,0.00000e+00,1,1.00000e-03,1.00000e-03,0.00000e+00,0.00000e+00
9.99993e-01,1.05059e-06,8.60110e-07,5.06103e-06,1.59764e-10,4.63285e-07,2.93182e+02,9.99994e-01,1.00000e+05,9.53911e-02,3.25000e-08,0.00000e+00,9.96308e-14,0.00000e+00,1,1.20000e-03,1.20000e-03,0.00000e+00,0.00000e+00
9.99986e-01,2.17701e-06,1.78231e-06,1.04927e-05,3.31161e-10,4.63290e-07,2.93306e+02,9.99987e-01,1.00000e+05,9.37700e-02,4.00000e-08,0.00000e+00,9.96308e-14,2.13395e-19,1,1.40000e-03,1.40000e-03,0.00000e+00,0.00000e+00
9.99970e-01,4.45406e-06,3.64650e-06,2.14789e-05,6.77757e-10,1.66545e-11,2.93508e+02,9.99972e-01,1.00000e+05,9.19317e-02,4.75000e-08,0.00000e+00,0.00000e+00,1.06698e-18,1,1.60000e-03,1.60000e-03,0.00000e+00,0.00000e+00
9.99940e-01,8.98700e-06,7.35757e-06,4.33611e-05,1.36797e-09,2.29178e-11,2.93832e+02,9.99943e-01,1.00000e+05,8.98938e-02,5.25000e-08,0.00000e+00,0.00000e+00,1.70716e-18,1,1.80000e-03,1.80000e-03,0.00000e+00,0.00000e+00
